Kota/Kabupaten,total_pembayaran,order_count,avg_shipping_cost,wilayah_clean,KODE_KK,KODE_PROV,KAB_KOTA,PROVINSI,FID,lat,lon
KAB. KLATEN,1448155.0,30,17800.0,klaten,33.10,33,Klaten,Jawa Tengah,33.10,-7.6858181058144455,110.61945204176747
KAB. KLUNGKUNG,701600.0,4,61875.0,klungkung,51.05,51,Klungkung,Bali,51.05,-8.666950263820295,115.49365804129053
KAB. KOLAKA,28000.0,1,51500.0,kolaka,74.01,74,Kolaka,Sulawesi Tenggara,74.01,-4.074509271771482,121.52199096111947
KAB. KOLAKA TIMUR,88897.0,1,55400.0,kolaka timur,74.11,74,Kolaka Timur,Sulawesi Tenggara,74.11,-3.795460680574005,121.60859193728038
KAB. KOLAKA UTARA,844632.0,5,84200.0,kolaka utara,74.08,74,Kolaka Utara,Sulawesi Tenggara,74.08,-3.2627120717607503,121.1340466146861
KAB. KONAWE SELATAN,307456.0,3,75333.33333333333,konawe selatan,74.05,74,Konawe Selatan,Sulawesi Tenggara,74.05,-4.26272778465698,122.42330975474528
KAB. KONAWE UTARA,114348.0,1,51500.0,konawe utara,74.09,74,Konawe Utara,Sulawesi Tenggara,74.09,-3.390696798119567,122.03045499886026
KAB. KUANTAN SINGINGI,923354.0,21,47109.52380952381,kuantan singingi,14.09,14,Kuantan Singingi,Riau,14.09,-0.4741700181821832,101.50591623034994
KAB. KUBU RAYA,2093052.0,32,35050.0,kubu raya,61.12,61,Kubu Raya,Kalimantan Barat,61.12,-0.39182681946424386,109.54037439507948
KAB. KUDUS,917995.0,29,15600.0,kudus,33.19,33,Kudus,Jawa Tengah,33.19,-6.7902612565148575,110.86990720123065
KAB. KULON PROGO,538359.0,16,12968.75,kulon progo,34.01,34,Kulon Progo,Daerah Istimewa Yogyakarta,34.01,-7.818708973173409,110.1671145295695
KAB. KUNINGAN,3071344.0,53,15054.716981132075,kuningan,32.08,32,Kuningan,Jawa Barat,32.08,-7.003379280987916,108.55981098532962
KAB. KUTAI BARAT,326856.0,7,58657.142857142855,kutai barat,64.07,64,Kutai Barat,Kalimantan Timur,64.07,-0.5033170601013623,115.82609813798088
KAB. KUTAI KARTANEGARA,1110149.0,21,51380.95238095238,kutai kartanegara,64.02,64,Kutai Kartanegara,Kalimantan Timur,64.02,0.10796263801264086,116.48011669864212
KAB. KUTAI TIMUR,892177.0,9,56244.444444444445,kutai timur,64.08,64,Kutai Timur,Kalimantan Timur,64.08,0.9898708017580123,117.1291534270194
KAB. LAHAT,817316.0,15,37646.666666666664,lahat,16.04,16,Lahat,Sumatera Selatan,16.04,-3.8288234056751396,103.3789490909419
KAB. LAMANDAU,334243.0,6,38358.166666666664,lamandau,62.09,62,Lamandau,Kalimantan Tengah,62.09,-1.7713846570001546,111.41784811878347
KAB. LAMONGAN,2067322.0,53,15916.981132075472,lamongan,35.24,35,Lamongan,Jawa Timur,35.24,-7.131410515007469,112.30074592146879
KAB. LAMPUNG BARAT,532281.0,16,23950.0,lampung barat,18.04,18,Lampung Barat,Lampung,18.04,-5.050568922751482,104.25297643788693
KAB. LAMPUNG SELATAN,1969926.0,31,54116.12903225807,lampung selatan,18.01,18,Lampung Selatan,Lampung,18.01,-5.529926934042058,105.50120014048665
KAB. LAMPUNG TENGAH,1496759.0,43,25016.302325581397,lampung tengah,18.02,18,Lampung Tengah,Lampung,18.02,-4.856302768849013,105.27207782065872
KAB. LAMPUNG TIMUR,2002772.0,50,27615.46,lampung timur,18.07,18,Lampung Timur,Lampung,18.07,-5.13133389225504,105.6489894799606
KAB. LAMPUNG UTARA,988880.0,19,25884.21052631579,lampung utara,18.03,18,Lampung Utara,Lampung,18.03,-4.796778717693114,104.80737472771854
KAB. LANDAK,169688.0,5,30520.0,landak,61.08,61,Landak,Kalimantan Barat,61.08,0.5076819153061877,109.76407733027928
KAB. LANGKAT,685817.0,22,34995.454545454544,langkat,12.05,12,Langkat,Sumatera Utara,12.05,3.7087596198252397,98.22366988265378
KAB. LEBAK,3573561.0,102,11155.882352941177,lebak,36.02,36,Lebak,Banten,36.02,-6.642020122845473,106.21242248188473
KAB. LEBONG,405598.0,10,21760.0,lebong,17.07,17,Lebong,Bengkulu,17.07,-3.090007244156955,102.24781865860447
KAB. LINGGA,470994.0,7,44914.28571428572,lingga,21.04,21,Lingga,Kepulauan Riau,21.04,-0.2218374733076474,104.52694758683589
KAB. LOMBOK BARAT,287570.0,6,40250.0,lombok barat,52.01,52,Lombok Barat,Nusa Tenggara Barat,52.01,-8.66546804292702,116.09345744567439
KAB. LOMBOK TENGAH,2298177.0,21,53576.19047619047,lombok tengah,52.02,52,Lombok Tengah,Nusa Tenggara Barat,52.02,-8.72214701148794,116.28983887403255
KAB. LOMBOK TIMUR,865828.0,13,60269.230769230766,lombok timur,52.03,52,Lombok Timur,Nusa Tenggara Barat,52.03,-8.532324119405322,116.53081208388284
KAB. LOMBOK UTARA,883300.0,3,90300.0,lombok utara,52.08,52,Lombok Utara,Nusa Tenggara Barat,52.08,-8.348893738941477,116.28292084055784
KAB. LUMAJANG,1279613.0,36,15022.222222222223,lumajang,35.08,35,Lumajang,Jawa Timur,35.08,-8.125443593037767,113.13849624512856
KAB. LUWU,197960.0,8,41250.0,luwu,73.17,73,Luwu,Sulawesi Selatan,73.17,-3.19920842038673,120.18312032806739
KAB. LUWU TIMUR,567208.0,14,61635.71428571428,luwu timur,73.24,73,Luwu Timur,Sulawesi Selatan,73.24,-2.5560452751250424,121.12833364788985
KAB. LUWU UTARA,314651.0,5,55980.0,luwu utara,73.22,73,Luwu Utara,Sulawesi Selatan,73.22,-2.39593518413965,120.16443417949881
KAB. MADIUN,877686.0,19,14910.526315789473,madiun,35.19,35,Madiun,Jawa Timur,35.19,-7.623615892934244,111.64585875829627
KAB. MADIUN,877686.0,19,14910.526315789473,madiun,35.77,35,Kota Madiun,Jawa Timur,35.77,-7.6294540613265,111.52726721364904
KAB. MAGELANG,2208249.0,56,17483.928571428572,magelang,33.71,33,Kota Magelang,Jawa Tengah,33.71,-7.4765545104057125,110.22011139742136
KAB. MAGELANG,2208249.0,56,17483.928571428572,magelang,33.08,33,Magelang,Jawa Tengah,33.08,-7.501736891109967,110.24721339288699
KAB. MAGETAN,883296.0,18,17788.88888888889,magetan,35.20,35,Magetan,Jawa Timur,35.20,-7.663380036621064,111.35743424445917
KAB. MAHAKAM ULU,207816.0,2,80450.0,mahakam ulu,64.11,64,Mahakam Ulu,Kalimantan Timur,64.11,0.7338263094483192,114.83346819414245
KAB. MAJALENGKA,1860176.0,52,13809.403846153846,majalengka,32.10,32,Majalengka,Jawa Barat,32.10,-6.815084455839337,108.25719365357271
KAB. MAJENE,190572.0,2,70800.0,majene,76.05,76,Majene,Sulawesi Barat,76.05,-3.173163960106312,118.91846698600894
KAB. MALAKA,76497.0,2,58000.0,malaka,53.21,53,Malaka,Nusa Tenggara Timur,53.21,-9.524259235564495,124.88844674209815
KAB. MALANG,5268402.0,102,20518.62745098039,malang,35.07,35,Malang,Jawa Timur,35.07,-8.125914498560155,112.6409074124253
KAB. MALANG,5268402.0,102,20518.62745098039,malang,35.73,35,Kota Malang,Jawa Timur,35.73,-7.978300291727217,112.63590685470416
KAB. MAMASA,139776.0,1,94400.0,mamasa,76.03,76,Mamasa,Sulawesi Barat,76.03,-2.945717452124322,119.31438555885933
KAB. MAMUJU,239252.0,4,50975.0,mamuju,76.02,76,Mamuju,Sulawesi Barat,76.02,-2.51969779073658,119.34457596985807
KAB. MAMUJU TENGAH,195130.0,2,117500.0,mamuju tengah,76.06,76,Mamuju Tengah,Sulawesi Barat,76.06,-2.0026542496691677,119.51108910193571
